,name,location,idea,acceptance_rate
0,Mahatma Education Society's Pillai Centre of Innovation and Entrepreneurship,"Dr. K. M. Vasudevan Pillai Campus Plot No. 10, Sector 16, New Panvel – 410 206 Maharashtra, India","AI, Green Technology, Internet of Things, Robotics",100%
3,KALCHURI LNCT GROUP INCUBATION CENTER,"KALCHURI LNNCT GROUP INCUBATION CENTER, LNCT Campus, Kalchuri Nagar, (P.O. Kolua) Raisen Road, Bhopal-462022 (M.P).","Analytics, Advertising, Architecture Interior Design",58%
4,EdVenture Incubation Foundation,"NMDC Colony, Venkatadri Colony, Masab Tank, Hyderabad, Telangana 500264","Automotive, Computer Vision, Telecommunication & Networking, Construction, AI",14%
5,Sharda Launchpad Foundation,"Sharda University, Plot No 32-34, Knowledge Park 3, Greater Noida, UP-201310","Architecture Interior Design, AR VR (Augmented + Virtual Reality)",66%
6,VCorp,"GHAZIABAD-BULANDSHAHR G.T. ROAD, NH-91, GREATER NOIDA PHASE-II, GAUTAM BUDH NAGAR, UTTAR PRADESH-203207","Automotive, Agriculture, Education, Robotics",90%
7,MIET Incubation Forum,"MIET Incubation Forum, Meerut Institute of Engineering and Technology, NH-58, Baghpat Road, Bypass crossing Meerut (250005) UP (India)","Agriculture, AI, Education, Healthcare & Lifesciences, Internet of Things",100%
9,Mahatma Education Society's Pillai Centre of Innovation and Entrepreneurship,"Dr. K. M. Vasudevan Pillai Campus Plot No. 10, Sector 16, New Panvel – 410 206 Maharashtra, India","AI, Green Technology, Internet of Things, Robotics",100%
12,KALCHURI LNCT GROUP INCUBATION CENTER,"KALCHURI LNNCT GROUP INCUBATION CENTER, LNCT Campus, Kalchuri Nagar, (P.O. Kolua) Raisen Road, Bhopal-462022 (M.P).","Analytics, Advertising, Architecture Interior Design",58%
13,EdVenture Incubation Foundation,"NMDC Colony, Venkatadri Colony, Masab Tank, Hyderabad, Telangana 500264","Automotive, Computer Vision, Telecommunication & Networking, Construction, AI",14%
14,Sharda Launchpad Foundation,"Sharda University, Plot No 32-34, Knowledge Park 3, Greater Noida, UP-201310","Architecture Interior Design, AR VR (Augmented + Virtual Reality)",66%
15,VCorp,"GHAZIABAD-BULANDSHAHR G.T. ROAD, NH-91, GREATER NOIDA PHASE-II, GAUTAM BUDH NAGAR, UTTAR PRADESH-203207","Automotive, Agriculture, Education, Robotics",90%
16,MIET Incubation Forum,"MIET Incubation Forum, Meerut Institute of Engineering and Technology, NH-58, Baghpat Road, Bypass crossing Meerut (250005) UP (India)","Agriculture, AI, Education, Healthcare & Lifesciences, Internet of Things",100%
18,Atal Incubation Centre - Pondicherry Engineering College Foundation,"Atal Incubation Centre - PEC Foundation, Puducherry Technological University, Pillaichavady, Pondicherry - 605 014","Design, Education, Renewable Energy, Technology Hardware, Internet of Things",81%
19,SCIFI IIM Lucknow,"SCIFI IIM Lucknow, IIM road, Prabandh nagar, Lucknow 226013","Agriculture, Finance Technology",16%
21,FabCi IIT Hyderabad,"IIT Hyderabad Permanent Campus, NH9, Kandi, Sangareddy, Telangana, India - 502285","Telecommunication & Networking, Internet of Things, Social Impact",28%
22,INURTURE INCUBATION FOUNDATION,"ABES Engg. College, 19TH KM STONE, NH-09","Analytics, AR VR (Augmented + Virtual Reality), Agriculture, AI",42%
24,NEC Business Incubator,"K R Innovation Centre, Tech Park, National Engineering College, Kovilpatti","Telecommunication & Networking, Agriculture, AI, Green Technology, Education",6%
25,Access Livelihoods Foundation,"17-1-383/47, 4th Cross Rd, Vinay Nagar Colony, Vinayak Nagar Colony, Saidabad, Hyderabad, Telangana 500059",Social Impact,12%
26,BIL-Ryerson Technology Startup Incubator Foundation (BRTSIF),18th Floor BSE Building P J Towers Dalal Street Mumbai- 400001,"Agriculture, AI, Green Technology, Finance Technology, Food & Beverages",5%
27,Mahatma Education Society's Pillai Centre of Innovation and Entrepreneurship,"Dr. K. M. Vasudevan Pillai Campus Plot No. 10, Sector 16, New Panvel – 410 206 Maharashtra, India","AI, Green Technology, Internet of Things, Robotics",100%
30,KALCHURI LNCT GROUP INCUBATION CENTER,"KALCHURI LNNCT GROUP INCUBATION CENTER, LNCT Campus, Kalchuri Nagar, (P.O. Kolua) Raisen Road, Bhopal-462022 (M.P).","Analytics, Advertising, Architecture Interior Design",58%
31,EdVenture Incubation Foundation,"NMDC Colony, Venkatadri Colony, Masab Tank, Hyderabad, Telangana 500264","Automotive, Computer Vision, Telecommunication & Networking, Construction, AI",14%
32,Sharda Launchpad Foundation,"Sharda University, Plot No 32-34, Knowledge Park 3, Greater Noida, UP-201310","Architecture Interior Design, AR VR (Augmented + Virtual Reality)",66%
33,VCorp,"GHAZIABAD-BULANDSHAHR G.T. ROAD, NH-91, GREATER NOIDA PHASE-II, GAUTAM BUDH NAGAR, UTTAR PRADESH-203207","Automotive, Agriculture, Education, Robotics",90%
34,MIET Incubation Forum,"MIET Incubation Forum, Meerut Institute of Engineering and Technology, NH-58, Baghpat Road, Bypass crossing Meerut (250005) UP (India)","Agriculture, AI, Education, Healthcare & Lifesciences, Internet of Things",100%
36,Atal Incubation Centre - Pondicherry Engineering College Foundation,"Atal Incubation Centre - PEC Foundation, Puducherry Technological University, Pillaichavady, Pondicherry - 605 014","Design, Education, Renewable Energy, Technology Hardware, Internet of Things",81%
37,SCIFI IIM Lucknow,"SCIFI IIM Lucknow, IIM road, Prabandh nagar, Lucknow 226013","Agriculture, Finance Technology",16%
39,FabCi IIT Hyderabad,"IIT Hyderabad Permanent Campus, NH9, Kandi, Sangareddy, Telangana, India - 502285","Telecommunication & Networking, Internet of Things, Social Impact",28%
40,INURTURE INCUBATION FOUNDATION,"ABES Engg. College, 19TH KM STONE, NH-09","Analytics, AR VR (Augmented + Virtual Reality), Agriculture, AI",42%
42,NEC Business Incubator,"K R Innovation Centre, Tech Park, National Engineering College, Kovilpatti","Telecommunication & Networking, Agriculture, AI, Green Technology, Education",6%
43,Access Livelihoods Foundation,"17-1-383/47, 4th Cross Rd, Vinay Nagar Colony, Vinayak Nagar Colony, Saidabad, Hyderabad, Telangana 500059",Social Impact,12%
44,BIL-Ryerson Technology Startup Incubator Foundation (BRTSIF),18th Floor BSE Building P J Towers Dalal Street Mumbai- 400001,"Agriculture, AI, Green Technology, Finance Technology, Food & Beverages",5%
45,PC IEDC,"Y & M, AKI's Poona College of Arts, Science & Commerce, K. B. Hidayatullah Road, Camp, Pune - 411048",Chemicals,20%
46,North East Agriculture Technology Entrepreneurs Hub,"2nd Floor, Old Dean Building, Assam Agricultural University, Jorhat-785013",Agriculture,42%
49,B. Incube,"3rd floor, Central Library, Nutan Chowk, Sarkanda, Bilaspur, Chhattisgarh, 495001","AR VR (Augmented + Virtual Reality), Agriculture, Education",40%
50,NRRI-ABIs,"AGRIBUSINESS INCUBATION CENTRE(ABI)ICAR-NATIONAL RICE RESEARCH INSTITUTE(NRRI),CUTTACK-753006,ODISHA","Agriculture, Biotechnology",90%
51,SIIF (SSCBS Innovation and Incubation Foundation),"Dr. K.N. Katju Marg Rohini Sector 16, PSP Area IV, New Delhi, Delhi 110089","Analytics, AR VR (Augmented + Virtual Reality), Automotive, Agriculture",100%
52,Malla Reddy Foundation for Research and Innovation,"SURVEY NO 137, SURARAM X ROAD, QUTHBULLAPUR, HYDERABAD, TELANGANA 500055","Healthcare & Lifesciences, Social Impact, Biotechnology",76%
54,Mahatma Education Society's Pillai Centre of Innovation and Entrepreneurship,"Dr. K. M. Vasudevan Pillai Campus Plot No. 10, Sector 16, New Panvel – 410 206 Maharashtra, India","AI, Green Technology, Internet of Things, Robotics",100%
57,KALCHURI LNCT GROUP INCUBATION CENTER,"KALCHURI LNNCT GROUP INCUBATION CENTER, LNCT Campus, Kalchuri Nagar, (P.O. Kolua) Raisen Road, Bhopal-462022 (M.P).","Analytics, Advertising, Architecture Interior Design",58%
58,EdVenture Incubation Foundation,"NMDC Colony, Venkatadri Colony, Masab Tank, Hyderabad, Telangana 500264","Automotive, Computer Vision, Telecommunication & Networking, Construction, AI",14%
59,Sharda Launchpad Foundation,"Sharda University, Plot No 32-34, Knowledge Park 3, Greater Noida, UP-201310","Architecture Interior Design, AR VR (Augmented + Virtual Reality)",66%
60,VCorp,"GHAZIABAD-BULANDSHAHR G.T. ROAD, NH-91, GREATER NOIDA PHASE-II, GAUTAM BUDH NAGAR, UTTAR PRADESH-203207","Automotive, Agriculture, Education, Robotics",90%
61,MIET Incubation Forum,"MIET Incubation Forum, Meerut Institute of Engineering and Technology, NH-58, Baghpat Road, Bypass crossing Meerut (250005) UP (India)","Agriculture, AI, Education, Healthcare & Lifesciences, Internet of Things",100%
63,Atal Incubation Centre - Pondicherry Engineering College Foundation,"Atal Incubation Centre - PEC Foundation, Puducherry Technological University, Pillaichavady, Pondicherry - 605 014","Design, Education, Renewable Energy, Technology Hardware, Internet of Things",81%
64,SCIFI IIM Lucknow,"SCIFI IIM Lucknow, IIM road, Prabandh nagar, Lucknow 226013","Agriculture, Finance Technology",16%
66,FabCi IIT Hyderabad,"IIT Hyderabad Permanent Campus, NH9, Kandi, Sangareddy, Telangana, India - 502285","Telecommunication & Networking, Internet of Things, Social Impact",28%
67,INURTURE INCUBATION FOUNDATION,"ABES Engg. College, 19TH KM STONE, NH-09","Analytics, AR VR (Augmented + Virtual Reality), Agriculture, AI",42%
69,NEC Business Incubator,"K R Innovation Centre, Tech Park, National Engineering College, Kovilpatti","Telecommunication & Networking, Agriculture, AI, Green Technology, Education",6%
70,Access Livelihoods Foundation,"17-1-383/47, 4th Cross Rd, Vinay Nagar Colony, Vinayak Nagar Colony, Saidabad, Hyderabad, Telangana 500059",Social Impact,12%
71,BIL-Ryerson Technology Startup Incubator Foundation (BRTSIF),18th Floor BSE Building P J Towers Dalal Street Mumbai- 400001,"Agriculture, AI, Green Technology, Finance Technology, Food & Beverages",5%
72,PC IEDC,"Y & M, AKI's Poona College of Arts, Science & Commerce, K. B. Hidayatullah Road, Camp, Pune - 411048",Chemicals,20%
73,North East Agriculture Technology Entrepreneurs Hub,"2nd Floor, Old Dean Building, Assam Agricultural University, Jorhat-785013",Agriculture,42%
76,B. Incube,"3rd floor, Central Library, Nutan Chowk, Sarkanda, Bilaspur, Chhattisgarh, 495001","AR VR (Augmented + Virtual Reality), Agriculture, Education",40%
77,NRRI-ABIs,"AGRIBUSINESS INCUBATION CENTRE(ABI)ICAR-NATIONAL RICE RESEARCH INSTITUTE(NRRI),CUTTACK-753006,ODISHA","Agriculture, Biotechnology",90%
78,SIIF (SSCBS Innovation and Incubation Foundation),"Dr. K.N. Katju Marg Rohini Sector 16, PSP Area IV, New Delhi, Delhi 110089","Analytics, AR VR (Augmented + Virtual Reality), Automotive, Agriculture",100%
79,Malla Reddy Foundation for Research and Innovation,"SURVEY NO 137, SURARAM X ROAD, QUTHBULLAPUR, HYDERABAD, TELANGANA 500055","Healthcare & Lifesciences, Social Impact, Biotechnology",76%
81,COF RABI,"College of Fisheries, CAU (I), Lembucherra, Tripura - 799210",Agriculture,33%
83,Gopalakrishnan-Deshpande Centre for Innovation & Entrepreneurship,"GDC, 2nd Floor, IC & SR Building (Annexe), IIT Madras, Chennai - 600036","Automotive, Chemicals, Computer Vision, Telecommunication & Networking",10%
84,Ganpat University Incubation Centre,"Ganpat University Ganpat Vidyanagar, Mehsana-Gozaria Highway, PO - 384012,North Gujarat, INDIA",AR VR (Augmented + Virtual Reality),66%
85,IIITH Foundation (CIE IIIT Hyderabad),"CIE IIITH , Vindhya C4, IIIT Hyderabad Campus, Gachibowli, Hyderabad, Telangana: 500032","Analytics, Advertising, AR VR (Augmented + Virtual Reality), AI",10%
87,AIC N/Core,"Ground Floor, #15-19, Near APJ Abdul Kalam Enclave, Aswath Nagar Service Road, ORR, Dodda Nekkundi Extension, Marathahalli, Bengaluru, Karnataka 560037","Agriculture, Healthcare & Lifesciences, Social Impact",12%
88,VenturePark,"Bihar Industries Association, Sinha Library Road, Patna","Agriculture, AI, Education",10%
89,Osmania Technology Business Incubator,"#s1, Second Floor, CFRD Building, Osmania University, Hyderabad,Telangana","AR VR (Augmented + Virtual Reality), Automotive, Computer Vision",14%
90,Mahatma Education Society's Pillai Centre of Innovation and Entrepreneurship,"Dr. K. M. Vasudevan Pillai Campus Plot No. 10, Sector 16, New Panvel – 410 206 Maharashtra, India","AI, Green Technology, Internet of Things, Robotics",100%
93,KALCHURI LNCT GROUP INCUBATION CENTER,"KALCHURI LNNCT GROUP INCUBATION CENTER, LNCT Campus, Kalchuri Nagar, (P.O. Kolua) Raisen Road, Bhopal-462022 (M.P).","Analytics, Advertising, Architecture Interior Design",58%
94,EdVenture Incubation Foundation,"NMDC Colony, Venkatadri Colony, Masab Tank, Hyderabad, Telangana 500264","Automotive, Computer Vision, Telecommunication & Networking, Construction, AI",14%
95,Sharda Launchpad Foundation,"Sharda University, Plot No 32-34, Knowledge Park 3, Greater Noida, UP-201310","Architecture Interior Design, AR VR (Augmented + Virtual Reality)",66%
96,VCorp,"GHAZIABAD-BULANDSHAHR G.T. ROAD, NH-91, GREATER NOIDA PHASE-II, GAUTAM BUDH NAGAR, UTTAR PRADESH-203207","Automotive, Agriculture, Education, Robotics",90%
97,MIET Incubation Forum,"MIET Incubation Forum, Meerut Institute of Engineering and Technology, NH-58, Baghpat Road, Bypass crossing Meerut (250005) UP (India)","Agriculture, AI, Education, Healthcare & Lifesciences, Internet of Things",100%
99,Atal Incubation Centre - Pondicherry Engineering College Foundation,"Atal Incubation Centre - PEC Foundation, Puducherry Technological University, Pillaichavady, Pondicherry - 605 014","Design, Education, Renewable Energy, Technology Hardware, Internet of Things",81%
100,SCIFI IIM Lucknow,"SCIFI IIM Lucknow, IIM road, Prabandh nagar, Lucknow 226013","Agriculture, Finance Technology",16%
102,FabCi IIT Hyderabad,"IIT Hyderabad Permanent Campus, NH9, Kandi, Sangareddy, Telangana, India - 502285","Telecommunication & Networking, Internet of Things, Social Impact",28%
103,INURTURE INCUBATION FOUNDATION,"ABES Engg. College, 19TH KM STONE, NH-09","Analytics, AR VR (Augmented + Virtual Reality), Agriculture, AI",42%
105,NEC Business Incubator,"K R Innovation Centre, Tech Park, National Engineering College, Kovilpatti","Telecommunication & Networking, Agriculture, AI, Green Technology, Education",6%
106,Access Livelihoods Foundation,"17-1-383/47, 4th Cross Rd, Vinay Nagar Colony, Vinayak Nagar Colony, Saidabad, Hyderabad, Telangana 500059",Social Impact,12%
107,BIL-Ryerson Technology Startup Incubator Foundation (BRTSIF),18th Floor BSE Building P J Towers Dalal Street Mumbai- 400001,"Agriculture, AI, Green Technology, Finance Technology, Food & Beverages",5%
108,PC IEDC,"Y & M, AKI's Poona College of Arts, Science & Commerce, K. B. Hidayatullah Road, Camp, Pune - 411048",Chemicals,20%
109,North East Agriculture Technology Entrepreneurs Hub,"2nd Floor, Old Dean Building, Assam Agricultural University, Jorhat-785013",Agriculture,42%
112,B. Incube,"3rd floor, Central Library, Nutan Chowk, Sarkanda, Bilaspur, Chhattisgarh, 495001","AR VR (Augmented + Virtual Reality), Agriculture, Education",40%
113,NRRI-ABIs,"AGRIBUSINESS INCUBATION CENTRE(ABI)ICAR-NATIONAL RICE RESEARCH INSTITUTE(NRRI),CUTTACK-753006,ODISHA","Agriculture, Biotechnology",90%
114,SIIF (SSCBS Innovation and Incubation Foundation),"Dr. K.N. Katju Marg Rohini Sector 16, PSP Area IV, New Delhi, Delhi 110089","Analytics, AR VR (Augmented + Virtual Reality), Automotive, Agriculture",100%
115,Malla Reddy Foundation for Research and Innovation,"SURVEY NO 137, SURARAM X ROAD, QUTHBULLAPUR, HYDERABAD, TELANGANA 500055","Healthcare & Lifesciences, Social Impact, Biotechnology",76%
117,COF RABI,"College of Fisheries, CAU (I), Lembucherra, Tripura - 799210",Agriculture,33%
119,Gopalakrishnan-Deshpande Centre for Innovation & Entrepreneurship,"GDC, 2nd Floor, IC & SR Building (Annexe), IIT Madras, Chennai - 600036","Automotive, Chemicals, Computer Vision, Telecommunication & Networking",10%
120,Ganpat University Incubation Centre,"Ganpat University Ganpat Vidyanagar, Mehsana-Gozaria Highway, PO - 384012,North Gujarat, INDIA",AR VR (Augmented + Virtual Reality),66%
121,IIITH Foundation (CIE IIIT Hyderabad),"CIE IIITH , Vindhya C4, IIIT Hyderabad Campus, Gachibowli, Hyderabad, Telangana: 500032","Analytics, Advertising, AR VR (Augmented + Virtual Reality), AI",10%
123,AIC N/Core,"Ground Floor, #15-19, Near APJ Abdul Kalam Enclave, Aswath Nagar Service Road, ORR, Dodda Nekkundi Extension, Marathahalli, Bengaluru, Karnataka 560037","Agriculture, Healthcare & Lifesciences, Social Impact",12%
124,VenturePark,"Bihar Industries Association, Sinha Library Road, Patna","Agriculture, AI, Education",10%
125,Osmania Technology Business Incubator,"#s1, Second Floor, CFRD Building, Osmania University, Hyderabad,Telangana","AR VR (Augmented + Virtual Reality), Automotive, Computer Vision",14%
127,CIET-TBI,"5/30, SriThiruvengadam Nagar, Ganapathy pudur, Coimbatore – 641006",Technology Hardware,16%
